round,loss,val_loss,val_auc,val_balanced_accuracy,val_specificity,auc,f1,sensitivity,specificity,balanced_accuracy,accuracy,tp,tn,fp,fn,threshold
0,1.07701895236969,0.7334931373596192,0.39560439560439553,0.49999999999996153,0.9999999999999231,0.6458333333333334,0.0,0.0,0.999999999999875,0.4999999999999375,0.4,0.0,8.0,0.0,12.0,0.25000000000000006
1,0.6864560842514038,0.7049617052078248,0.5714285714285714,0.6703296703296,0.7692307692307101,0.44791666666666663,0.2222222222222222,0.16666666666665278,0.4999999999999375,0.3333333333332951,0.3,2.0,4.0,4.0,10.0,0.5500000000000002
