epoch,train_loss,val_loss,auc,f1,sensitivity,specificity,accuracy
1,0.2351427104644066,1.3851888179779053,0.84375,0.6666666666666666,0.999999999999875,0.0,0.5
2,0.14589232543449096,0.6947343349456787,0.75,0.75,0.7499999999999063,0.7499999999999063,0.75
3,0.13201766954434957,2.8978865146636963,0.6875,0.6956521739130435,0.999999999999875,0.12499999999998437,0.5625
