method,selection,auc,f1,sensitivity,specificity,accuracy,elapsed_seconds
centralized,test,0.8668310322156476,0.7807807807807807,0.9999999999999973,0.06410256410256383,0.6490384615384616,581.5041702500021
fedavg_non_iid,best_auc_round_3,0.9081908831908831,0.7707509881422925,0.9999999999999972,0.0085470085470085,0.6282051282051282,915.7220920830005
fedprox_non_iid,best_auc_round_3,0.9020710059171596,0.7738095238095238,0.9999999999999972,0.0256410256410255,0.6346153846153846,915.6711903750002
