round,loss,auc,f1,sensitivity,specificity,accuracy
0,0.6847839890382229,0.4726824457593688,0.7121848739495799,0.8692307692307669,0.04700854700854681,0.5608974358974359
1,1.7946935311580698,0.8224030243261014,0.7692307692307693,0.9999999999999973,0.0,0.625
2,1.7303666561627045,0.722463291694061,0.7692307692307693,0.9999999999999973,0.0,0.625
3,1.1776295577844558,0.9020710059171597,0.7738095238095238,0.9999999999999973,0.025641025641025533,0.6346153846153846
