round,loss,val_loss,threshold,selected_calibration_method,selection_score,val_auc,val_pr_auc,val_balanced_accuracy,val_specificity,val_recall,val_ece,auc,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,ece,brier_score,expected_cost,tp,tn,fp,fn
0.0,0.6755945430352137,0.7662839293479919,0.51,isotonic,0.4999999999999375,0.5,0.5,0.4999999999999375,0.999999999999875,0.0,0.0,0.5,0.625,0.375,0.4999999999999979,0.0,0.0,0.9999999999999958,0.0,0.125,0.25,3.125,0.0,234.0,0.0,390.0
1.0,0.9466987720284706,1.2274242639541626,0.26,isotonic,0.8124999999998985,0.8515625,0.7852564102564104,0.8124999999998985,0.7499999999999063,0.875,2.499986173924924e-13,0.7599879465264081,0.8050725869513938,0.7163461538461539,0.6585470085470064,0.7214137214137214,0.8897435897435897,0.42735042735042555,0.7967853042479908,0.1366551369779324,0.2048287558392518,0.5592948717948718,347.0,100.0,134.0,43.0
2.0,0.7745808133712182,1.0047472715377808,0.51,isotonic,0.6874999999999141,0.8046875,0.7596153846153846,0.6874999999999141,0.999999999999875,0.375,3.7499585217747723e-13,0.7984275695814158,0.8159856374815214,0.7019230769230769,0.7247863247863222,0.8517241379310345,0.6333333333333333,0.8162393162393128,0.7264705882352941,0.11454642021557197,0.17373439029252824,1.2147435897435896,247.0,191.0,43.0,143.0
3.0,0.8116489211336161,1.1150784492492676,0.01,isotonic,0.7499999999999063,0.7890625,0.7291666666666666,0.7499999999999063,0.4999999999999375,1.0,3.124986173924924e-13,0.8399189129958361,0.853760513548671,0.7355769230769231,0.655982905982904,0.7102803738317757,0.9743589743589743,0.3376068376068362,0.8216216216216217,0.17711659210545275,0.1734488775474739,0.328525641025641,380.0,79.0,155.0,10.0
