epoch,train_loss,val_loss,threshold,selected_threshold,selected_calibration_method,selection_score,val_selected_auc,val_selected_pr_auc,val_selected_accuracy,val_selected_balanced_accuracy,val_selected_precision,val_selected_recall,val_selected_sensitivity,val_selected_specificity,val_selected_f1,val_selected_brier_score,val_selected_ece,val_selected_log_loss,val_selected_false_positive_rate,val_selected_false_negative_rate,val_selected_expected_cost,val_selected_total_cost,val_selected_prevalence,val_selected_tp,val_selected_tn,val_selected_fp,val_selected_fn,val_selected_threshold,val_raw_0_5_auc,val_raw_0_5_pr_auc,val_raw_0_5_accuracy,val_raw_0_5_balanced_accuracy,val_raw_0_5_precision,val_raw_0_5_recall,val_raw_0_5_sensitivity,val_raw_0_5_specificity,val_raw_0_5_f1,val_raw_0_5_brier_score,val_raw_0_5_ece,val_raw_0_5_log_loss,val_raw_0_5_false_positive_rate,val_raw_0_5_false_negative_rate,val_raw_0_5_expected_cost,val_raw_0_5_total_cost,val_raw_0_5_prevalence,val_raw_0_5_tp,val_raw_0_5_tn,val_raw_0_5_fp,val_raw_0_5_fn,val_raw_0_5_threshold,auc,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,ece,brier_score,expected_cost
1.0,0.06721341278921081,0.6674614548683167,0.13,0.13,isotonic,0.9374999999998828,0.9453125,0.9416666666666667,0.9375,0.9374999999998828,1.0,0.875,0.8749999999998906,0.999999999999875,0.9333333333333333,0.0546875,4.999903217474468e-13,0.18838508062871837,0.0,0.12499999999998437,0.3125,5.0,0.5,7.0,8.0,0.0,1.0,0.13,0.890625,0.9416666666666667,0.5,0.4999999999999375,0.5,1.0,0.999999999999875,0.0,0.6666666666666666,0.24165008716778846,0.3007391467690468,0.6674614380408426,0.999999999999875,0.0,0.5,8.0,0.5,8.0,0.0,8.0,0.0,0.5,0.9453125,0.9416666666666667,0.9375,0.9374999999998828,1.0,0.875,0.999999999999875,0.9333333333333333,4.999903217474468e-13,0.0546875,0.3125
2.0,0.035308729065867836,0.6996498703956604,0.01,0.01,isotonic,0.8124999999998984,0.953125,0.9318181818181819,0.8125,0.8124999999998984,0.7272727272727273,1.0,0.999999999999875,0.6249999999999218,0.8421052631578947,0.07500000000000001,6.874917043549544e-13,0.21031614594108014,0.37499999999995315,0.0,0.1875,3.0,0.5,8.0,5.0,3.0,0.0,0.01,0.90625,0.928409090909091,0.5,0.4999999999999375,0.5,1.0,0.999999999999875,0.0,0.6666666666666666,0.2598362563653709,0.3425605110824108,0.6996498782127542,0.999999999999875,0.0,0.5,8.0,0.5,8.0,0.0,8.0,0.0,0.5,0.953125,0.9318181818181819,0.8125,0.8124999999998984,0.7272727272727273,1.0,0.6249999999999218,0.8421052631578947,6.874917043549544e-13,0.07500000000000001,0.1875
3.0,0.03999559072266259,0.6905673146247864,0.01,0.01,isotonic,0.7499999999999063,0.9140625,0.8988095238095237,0.75,0.7499999999999063,0.6666666666666666,1.0,0.999999999999875,0.4999999999999375,0.8,0.10625000000000001,5.624583924929424e-13,0.2969595435109483,0.4999999999999375,0.0,0.25,4.0,0.5,8.0,4.0,4.0,0.0,0.01,0.875,0.9029761904761906,0.5,0.4999999999999375,0.5,1.0,0.999999999999875,0.0,0.6666666666666666,0.25687077484396315,0.3227628953754902,0.6905672698114174,0.999999999999875,0.0,0.5,8.0,0.5,8.0,0.0,8.0,0.0,0.5,0.9140625,0.8988095238095237,0.75,0.7499999999999063,0.6666666666666666,1.0,0.4999999999999375,0.8,5.624583924929424e-13,0.10625000000000001,0.25
