method,selection,auc,pr_auc,precision,f1,sensitivity,specificity,balanced_accuracy,accuracy,ece,brier_score,expected_cost,threshold,calibration_method,threshold_strategy,elapsed_seconds
centralized,test,0.8981371904448827,0.9014853688012862,0.8992042440318302,0.8839634941329857,0.8692307692307669,0.8376068376068341,0.8534188034188005,0.8573717948717948,0.1180931473871098,0.12813601320228613,0.46955128205128205,0.13,isotonic,target_specificity,748.1918720419926
fedavg_non_iid,best_balanced_accuracy_round_1,0.8754383081306158,0.8909531701003586,0.8947368421052632,0.8601864181091877,0.8282051282051283,0.8376068376068341,0.8329059829059801,0.8317307692307693,0.1722630118346916,0.1555658358521432,0.5977564102564102,0.34,isotonic,target_specificity,1058.162528957997
fedprox_non_iid,best_balanced_accuracy_round_2,0.7984275695814158,0.8159856374815214,0.8517241379310345,0.7264705882352941,0.6333333333333333,0.8162393162393128,0.7247863247863222,0.7019230769230769,0.1145464202155719,0.1737343902925282,1.2147435897435896,0.51,isotonic,target_specificity,1081.8218647080066
